Arkansas,0.5
Alabama,0.563
Mississippi State,0.452
Tennessee,0.441
Auburn,0.355
Missouri,0.323
Chattanooga,0.853
East Tennessee State,0.676
Furman,0.545
Wofford,0.469
Western Carolina,0.485
UNC Greensboro,0.438
Mercer,0.576
Samford,0.424
Virginia Military,0.3
Citadel,0.313
Stephen F. Austin,0.839
Texas A&M-CC,0.8
Incarnate Word,0.586
Sam Houston State,0.563
Houston Baptist,0.515
Southeastern Louisiana,0.364
Abilene Christian,0.419
McNeese State,0.31
New Orleans,0.333
Nicholls State,0.324
Central Arkansas,0.25
Northwestern State,0.286
Lamar,0.367
Texas Southern,0.581
Alcorn State,0.5
Jackson State,0.576
Southern University,0.625
Alabama State,0.452
Prairie View A&M,0.226
Alabama A&M,0.379
Arkansas-Pine Bluff,0.242
Mississippi Valley State,0.229
Grambling State,0.226
South Dakota State,0.788
IPFW,0.727
Nebraska-Omaha,0.581
IUPUI,0.406
North Dakota State,0.606
Denver,0.516
Oral Roberts,0.452
South Dakota,0.438
Western Illinois,0.37
Arkansas-Little Rock,0.871
Louisiana-Monroe,0.613
Texas-Arlington,0.71
Louisiana-Lafayette,0.567
Georgia Southern,0.452
Georgia State,0.533
Texas State,0.5
South Alabama,0.424
Arkansas State,0.355
Appalachian State,0.29
Troy,0.29
Saint Mary's,0.844
Gonzaga,0.788
BYU,0.697
Pepperdine,0.581
San Francisco,0.483
Santa Clara,0.355
Loyola Marymount,0.452
Portland,0.375
Pacific,0.286
San Diego,0.3
New Mexico State,0.71
Grand Canyon,0.806
Cal State Bakersfield,0.733
Seattle,0.483
Utah Valley,0.4
UMKC,0.4
Texas Rio Grande Valley,0.267
Chicago State,0.125
