Date,Team 1,Team 2,Team 1 1st Half,Team 2 1st Half,Team 1 2nd Half,Team 2 2nd Half,Team 1 Final,Team 2 Final,Team 1 Winner,Team 2 Winner
11/13/15,Temple,North Carolina,36,47,31,44,67,91,0,1
11/13/15,Albany,Kentucky,27,38,38,40,65,78,0,1
11/13/15,Mt. St. Mary's,Maryland,32,43,24,37,56,80,0,1
11/13/15,Northern Colo.,Kansas,31,53,41,56,72,109,0,1
11/13/15,Siena,Duke,27,44,47,48,74,92,0,1
11/13/15,Morgan State,Virginia,23,40,25,46,48,86,0,1
11/13/15,Colorado,Iowa State,25,30,37,38,62,68,0,1
11/13/15,Charleston So.,Wichita State,30,42,33,46,63,88,0,1
11/13/15,Fairleigh D'son,Villanova,22,50,32,41,54,91,0,1
11/13/15,Pacific,Arizona,24,41,37,38,61,79,0,1
11/13/15,Florida Atlantic,Michigan State,21,43,34,39,55,82,0,1
11/13/15,Rice,California,31,47,34,50,65,97,0,1
11/13/15,Eastern Illinois,Indiana,17,49,32,39,49,88,0,1
11/13/15,Southern Utah,Utah,36,38,35,44,71,82,0,1
11/13/15,Western Illinois,Wisconsin,37,44,32,23,69,67,1,0
11/13/15,Austin Peay,Vanderbilt,15,47,26,33,41,80,0,1
11/13/15,St. Francis (Pa.),Notre Dame,25,38,31,49,56,87,0,1
11/13/15,Maine,Connecticut,30,42,26,58,56,100,0,1
11/13/15,McNeese State,LSU,27,41,43,40,70,81,0,1
11/13/15,Steph. F. Austin,Baylor,23,42,32,55,55,97,0,1
11/13/15,N.C. A&T;,Purdue,16,44,24,37,40,81,0,1
11/13/15,Northern Mich.,Michigan,26,36,18,34,44,70,0,1
11/13/15,McMurry,La.-Monroe,12,43,31,45,43,88,0,1
11/13/15,Fairfield,Yale,26,35,31,35,57,70,0,1
11/13/15,Minnesota-Morris,North Dakota,24,45,45,54,69,99,0,1
11/13/15,Jacksonville St.,Cent. Michigan,32,43,51,46,83,89,0,1
11/13/15,N'western St.,Mississippi,32,38,44,52,76,90,0,1
11/13/15,Ferrum,Army West Point,29,48,25,45,54,93,0,1
11/13/15,Quinnipiac,Sacred Heart,25,30,39,46,64,76,0,1
11/13/15,South Dakota,Wright State,32,30,37,47,69,77,0,1
11/13/15,Robert Morris,Penn,28,44,47,32,75,76,0,1
11/13/15,Wagner,St. John's ,31,32,26,34,57,66,0,1
11/13/15,Colgate,George Mason,20,22,46,31,66,53,1,0
11/13/15,Samford,Louisville,27,48,18,38,45,86,0,1
11/13/15,N.C. Central,Clemson,16,38,24,36,40,74,0,1
11/13/15,Lafayette,Geo. Washington,28,50,48,35,76,85,0,1
11/13/15,Princeton,Rider,30,22,34,34,64,56,1,0
11/13/15,Covenant,Liberty,27,26,35,38,62,64,0,1
11/13/15,Lehigh,Syracuse,12,32,35,25,47,57,0,1
11/13/15,Northeastern,Boston U.,40,37,37,40,10,7,0,1
11/13/15,IUPUI,Indiana State,38,32,34,38,72,70,1,0
11/13/15,Rutgers-Newark,Rutgers,33,33,26,39,59,72,0,1
11/13/15,Niagara,Old Dominion,24,36,26,31,50,67,0,1
11/13/15,Seton Hill,Duquesne,28,45,43,51,71,96,0,1
11/13/15,Western Caro.,Cincinnati,22,42,50,55,72,97,0,1
11/13/15,Canisius,Hofstra,47,45,38,51,85,96,0,1
11/13/15,Dartmouth,Seton Hall,33,39,34,45,67,84,0,1
11/13/15,Presbyterian,Furman,24,27,29,36,53,63,0,1
11/13/15,UNC-Asheville,Tennessee,33,34,45,48,78,82,0,1
11/13/15,Middle Ga. St.,Georgia State,28,40,26,33,54,73,0,1
11/13/15,James Madison,Richmond,35,36,52,39,87,75,1,0
11/13/15,Northern Kentucky,West Virginia,32,62,29,45,61,107,0,1
11/13/15,Chattanooga,Georgia,39,31,35,43,18,16,0,1
11/13/15,Trinity Baptist,FIU,19,34,20,37,39,71,0,1
11/13/15,S. Carolina St.,Charleston,31,35,23,39,54,74,0,1
11/13/15,Shenandoah,Bucknell,31,57,30,50,61,107,0,1
11/13/15,Southeast Mo. St.,Dayton,16,46,37,38,53,84,0,1
11/13/15,Miami (Ohio),Xavier,40,45,32,36,72,81,0,1
11/13/15,Prairie View A&M;,VCU,22,46,28,29,50,75,0,1
11/13/15,Coppin State,Eastern Kentucky,39,49,41,58,80,107,0,1
11/13/15,Holy Cross,Marist,31,24,36,40,67,64,1,0
11/13/15,UTRGV,Miami (Fla.),20,28,39,58,59,86,0,1
11/13/15,Fla. Christian,Florida A&M;,30,51,41,52,71,103,0,1
11/13/15,Randolph,Longwood,25,41,24,28,49,69,0,1
11/13/15,Lyndon State,New Hampshire,23,51,22,31,45,82,0,1
11/13/15,Millsaps,Louisiana Tech,15,60,18,35,33,95,0,1
11/13/15,Texas Southern,New Mexico,27,54,30,32,0,0,0,1
11/13/15,Webber Int'l,Ga. Southern,24,60,25,56,49,116,0,1
11/13/15,Allen,Mercer,22,42,48,54,70,96,0,1
11/13/15,Tennessee State,Loyola (Md.),36,36,50,35,86,71,1,0
11/13/15,Milwaukee,Denver,35,30,36,28,71,58,1,0
11/13/15,Sacramento St.,Arizona State,29,23,37,40,66,63,1,0
11/13/15,Cincinnati Christian,Morehead State,27,43,24,44,51,87,0,1
11/13/15,MIT,Harvard,19,25,20,34,39,59,0,1
11/13/15,CSUN,Northern Ill.,40,46,31,37,71,83,0,1
11/13/15,Air Force,Southern Ill.,38,30,37,47,75,77,0,1
11/13/15,UC Santa Barb.,Omaha,29,24,31,35,60,59,1,0
11/13/15,William & Mary,NC State,51,35,34,33,85,68,1,0
11/13/15,UTSA,Loyola Chicago,28,39,36,37,64,76,0,1
11/13/15,Fla. National,Savannah State,30,34,39,53,69,87,0,1
11/13/15,Grambling,East Carolina,22,28,31,33,53,61,0,1
11/13/15,UMBC,Wake Forest,40,41,33,37,73,78,0,1
11/13/15,San Francisco,Illinois-Chicago,38,36,40,39,78,75,1,0
11/13/15,American,Rhode Island,23,36,19,29,42,65,0,1
11/13/15,Ball State,Bradley,28,27,25,27,0,0,0,1
11/13/15,Tennessee-Martin,Oklahoma State,31,40,26,51,57,91,0,1
11/13/15,San Diego,USC,19,42,26,41,45,83,0,1
11/13/15,Austin,Lamar,30,58,28,43,58,101,0,1
11/13/15,Simpson (Iowa),Drake,18,50,34,47,52,97,0,1
11/13/15,Mass.-Lowell,Northwestern,34,32,23,47,57,79,0,1
11/13/15,Hartford,Cent. Conn. St.,30,31,39,38,23,14,0,1
11/13/15,Binghamton,St. Bonaventure,26,30,27,33,53,63,0,1
11/13/15,Louisiana Coll.,La.-Lafayette,29,55,39,53,68,108,0,1
11/13/15,Missouri State,Oral Roberts,22,39,43,41,65,80,0,1
11/13/15,Delaware,Delaware State,31,37,31,19,62,56,1,0
11/13/15,Harris-Stowe,Murray State,24,54,31,51,55,105,0,1
11/13/15,Md.-East. Shore,Kansas State,21,35,32,45,53,80,0,1
11/13/15,Trinity (Fla.),Bethune-Cookman,24,54,30,54,54,108,0,1
11/13/15,North Florida,Illinois,47,34,46,47,93,81,1,0
11/13/15,Southern Univ.,Arkansas,25,40,43,46,68,86,0,1
11/13/15,Drexel,Saint Joseph's,34,44,47,38,81,82,0,1
11/13/15,Aub.-Montgomery,South Alabama,42,35,26,53,68,88,0,1
11/13/15,Illinois Tech,Chicago State,42,66,17,71,59,137,0,1
11/13/15,Montreat,Campbell,19,54,23,33,42,87,0,1
11/13/15,Troy,South Florida,44,49,38,28,82,77,1,0
11/13/15,North Dakota St.,UC Davis,33,39,36,30,10,2,0,1
11/13/15,IPFW,Valparaiso,29,34,35,44,64,78,0,1
11/13/15,Elon,Charlotte,53,26,32,48,85,74,1,0
11/13/15,Our Lady Of The Lake,Texas A&M-C.C.;,23,45,49,49,72,94,0,1
11/13/15,Brown,St. Peter's,32,30,33,47,65,77,0,1
11/13/15,Cornell,Georgia Tech,49,57,32,59,81,116,0,1
11/13/15,Kennesaw State,Alabama,32,43,32,34,64,77,0,1
11/13/15,Jarvis Christian,North Texas,32,56,50,56,82,112,0,1
11/13/15,Northern Ariz.,Washington St.,34,47,36,35,70,82,0,1
11/13/15,Pitt.-Bradford,Buffalo,14,59,35,50,49,109,0,1
11/13/15,UMKC,Minnesota,30,32,28,44,58,76,0,1
11/13/15,Arkansas State,SIUE,37,37,33,42,70,79,0,1
11/13/15,Houston Baptist,New Mexico St.,33,51,36,40,69,91,0,1
11/13/15,Green Bay,Stanford,38,28,36,46,15,19,0,1
11/13/15,Bristol,Wyoming,24,51,38,50,62,101,0,1
11/13/15,Eastern Wash.,Mississippi St.,51,48,37,58,88,106,0,1
11/13/15,Utah Valley,BYU,26,46,28,39,54,85,0,1
11/13/15,Alabama A&M;,Tulane,25,19,40,46,3,2,0,1
11/13/15,High Point,Texas Tech,31,32,42,45,73,77,0,1
11/13/15,Boise State,Montana,38,33,34,41,72,74,0,1
11/13/15,Wofford,Missouri,29,39,45,44,74,83,0,1
11/13/15,Utah State,Weber State,35,32,38,38,73,70,1,0
11/13/15,Nevada,Coastal Caro.,21,23,52,33,73,56,1,0
11/13/15,Belmont,Marquette,47,40,36,40,83,80,1,0
11/13/15,Southeastern La.,TCU,31,42,46,48,77,90,0,1
11/13/15,S.C. Upstate,Texas A&M;,32,52,32,52,64,104,0,1
11/13/15,UAB,Auburn,37,40,37,35,74,75,0,1
11/13/15,Florida,Navy,29,19,30,22,59,41,1,0
11/13/15,Chadron State,South Dakota St.,21,43,31,44,52,87,0,1
11/13/15,Gardner-Webb,Iowa,37,41,22,35,59,76,0,1
11/13/15,Illinois State,San Diego State,34,37,26,34,60,71,0,1
11/13/15,Cal Poly,UNLV,40,37,32,37,72,74,0,1
11/13/15,UC San Diego,UC Irvine,26,46,47,43,73,89,0,1
11/13/15,Jackson State,Oregon,30,46,22,34,52,80,0,1
11/13/15,Pepperdine,Fresno State,38,30,28,39,66,69,0,1
11/13/15,CSU Fullerton,Loyola Marym't,31,41,43,38,74,79,0,1
11/13/15,Texas,Washington,34,34,37,43,71,77,0,1
11/13/15,Lipscomb,Santa Clara,27,25,22,24,16,14,0,1
11/13/15,Great Falls,Idaho State,42,28,30,50,72,78,0,1
11/13/15,Oregon Tech,Portland,33,48,48,50,81,98,0,1
11/13/15,Ark.-Pine Bluff,Seattle,28,33,30,23,58,56,1,0
11/13/15,Monmouth,UCLA,30,34,43,39,11,8,0,1
11/13/15,San Fran. St.,St. Mary's (Cal.),22,43,34,37,56,80,0,1
11/13/15,Kean,Columbia,29,48,33,59,62,107,0,1
11/13/15,Vermont,Eastern Mich.,30,27,20,43,50,70,0,1
11/13/15,Montana State,Hawaii,27,48,49,39,76,87,0,1
11/14/15,NJIT,Kentucky,28,36,29,51,57,87,0,1
11/14/15,Bryant,Duke,32,59,43,54,75,113,0,1
11/14/15,Citadel,Butler,41,71,30,73,71,144,0,1
11/14/15,VMI,Penn State,24,29,26,33,50,62,0,1
11/14/15,New Orleans,Bowling Green,27,37,34,42,61,79,0,1
11/14/15,St. Francis (B'klyn),Boston College,16,41,33,34,49,75,0,1
11/14/15,FGCU,Ohio,36,43,39,42,75,85,0,1
11/14/15,Jacksonville,Appalachian St.,32,32,36,44,68,76,0,1
11/14/15,West Va. Tech,Toledo,32,46,33,50,65,96,0,1
11/14/15,Towson,La Salle,39,45,37,33,76,78,0,1
11/14/15,Averett,East Tenn. St.,26,47,33,60,59,107,0,1
11/14/15,Central Baptist,UALR,32,43,25,33,57,76,0,1
11/14/15,Hampton,Winthrop,49,60,46,42,95,102,0,1
11/14/15,South Dakota,Northern Ill.,34,28,31,44,65,72,0,1
11/14/15,Central Ark.,Tulsa,38,44,43,54,81,98,0,1
11/14/15,Greensboro,UNC-Greensboro,32,40,37,46,69,86,0,1
11/14/15,Alabama State,Virginia Tech,37,42,48,40,85,82,1,0
11/14/15,Norfolk State,South Carolina,34,40,35,44,69,84,0,1
11/14/15,Baptist Bible ,Liberty,25,52,27,38,52,90,0,1
11/14/15,Merchant Marine,Stony Brook,14,58,18,45,32,103,0,1
11/14/15,William Jessup,UC Riverside,31,40,37,60,68,100,0,1
11/14/15,Harvard,Providence,29,34,35,42,64,76,0,1
11/14/15,BYU-Hawaii,Long Beach St.,26,47,31,44,57,91,0,1
11/14/15,Youngstown St.,Kent State,33,40,37,39,70,79,0,1
11/14/15,CSUN,Wright State,27,33,45,34,72,67,1,0
11/14/15,UCF,Davidson,45,55,40,35,85,90,0,1
11/14/15,NW Christian,Oregon State,27,33,25,41,52,74,0,1
11/14/15,Hawaii-Hilo,Montana State,41,44,44,46,85,90,0,1
11/14/15,Southern Miss,Memphis,20,36,29,31,49,67,0,1
11/14/15,Campbellsville,Western Ky.,39,49,38,48,77,97,0,1
11/14/15,Eureka,Loyola Chicago,18,44,33,40,51,84,0,1
11/14/15,Miss. Valley St.,Nebraska,21,43,30,54,51,97,0,1
11/14/15,Sam Houston St.,SMU,19,40,31,45,50,85,0,1
11/14/15,Fordham,Texas-Arlington,26,39,46,38,72,77,0,1
11/14/15,Milwaukee,Lipscomb,37,41,34,24,71,65,1,0
11/14/15,Piedmont,Tennessee Tech,36,51,36,59,72,110,0,1
11/14/15,Great Falls,Utah Valley,30,46,30,43,60,89,0,1
11/14/15,Western Mich.,DePaul,35,24,28,45,63,69,0,1
11/14/15,Cleveland State,Akron,22,40,31,25,53,65,0,1
11/14/15,Loyola (La.),UTEP,23,53,26,43,49,96,0,1
11/14/15,Texas Southern,Creighton,30,46,40,47,70,93,0,1
11/14/15,San Diego Christian,CSU Bakersfield,28,59,41,34,69,93,0,1
11/14/15,Idaho,San Jose State,34,18,40,36,74,54,1,0
11/14/15,Denver,Santa Clara,26,17,29,16,55,33,1,0
11/14/15,Colorado State,UNI,42,35,42,43,84,78,1,0
11/14/15,Radford,Georgetown,33,33,31,31,18,16,0,1
11/14/15,Howard,Massachusetts,47,38,32,47,79,85,0,1
11/14/15,Grambling,Mid-Atlantic Christ.,47,12,38,14,85,26,1,0
11/15/15,Fairfield,North Carolina,32,40,33,52,65,92,0,1
11/15/15,Siena,Wisconsin,28,43,37,49,65,92,0,1
11/15/15,Vermont,Purdue,45,60,34,47,79,107,0,1
11/15/15,Wake Forest,Bucknell,37,48,53,34,90,82,1,0
11/15/15,Howard,Rutgers,27,35,43,47,70,82,0,1
11/15/15,Wagner,Seton Hall,26,42,33,27,59,69,0,1
11/15/15,Robert Morris,Cincinnati,25,51,19,55,44,106,0,1
11/15/15,Army West Point,Binghamton,42,30,33,30,75,60,1,0
11/15/15,UTSA,Clemson,28,48,17,30,45,78,0,1
11/15/15,CSUN,South Dakota,30,33,42,43,72,76,0,1
11/15/15,St. Peter's,Lafayette,34,39,38,33,14,15,0,1
11/15/15,Iona,Valparaiso,25,42,33,41,58,83,0,1
11/15/15,Fort Valley St.,Jacksonville St.,37,38,31,43,68,81,0,1
11/15/15,Southeast Mo. St.,Evansville,36,44,29,36,65,80,0,1
11/15/15,Reinhardt,Troy,42,47,40,50,82,97,0,1
11/15/15,North Dakota St.,Illinois,39,28,35,52,74,80,0,1
11/15/15,Lipscomb,Denver,26,39,43,43,69,82,0,1
11/15/15,La.-Monroe,Minnesota,25,38,31,29,56,67,0,1
11/15/15,Nicholls State,Florida State,32,60,30,49,62,109,0,1
11/15/15,Cent. Conn. St.,Penn,29,29,32,48,61,77,0,1
11/15/15,Florida A&M;,Southern Ill.,26,39,25,42,51,81,0,1
11/15/15,N.C. Wesleyan,High Point,35,42,34,51,69,93,0,1
11/15/15,UNC-Asheville,Western Caro.,34,31,47,59,81,90,0,1
11/15/15,Wright State,Northern Ill.,39,31,20,34,59,65,0,1
11/15/15,Stetson,Richmond,33,57,52,51,85,108,0,1
11/15/15,St. Mary's (Minn.),Omaha,22,60,36,44,58,104,0,1
11/15/15,Niagara,Saint Joseph's,28,34,34,39,62,73,0,1
11/15/15,Hartford,Saint Louis,32,37,36,48,68,85,0,1
11/15/15,Sacramento St.,Seattle,25,27,52,38,77,65,1,0
11/15/15,Coppin State,Iowa,22,52,46,51,68,103,0,1
11/15/15,Milwaukee,Santa Clara,26,32,45,33,71,65,1,0
11/15/15,South Alabama,NC State,34,40,36,48,70,88,0,1
11/15/15,Md.-East. Shore,Missouri,32,34,23,39,55,73,0,1
11/15/15,Hannibal-La Grange,Western Illinois,34,50,23,44,57,94,0,1
11/15/15,Portland,UC Davis,31,41,35,38,66,79,0,1
11/15/15,Montana State,Nevada,37,41,25,42,62,83,0,1
11/15/15,William Jewell,UMKC,29,24,30,49,59,73,0,1
11/15/15,Charleston So.,Stanford,21,46,38,47,59,93,0,1
11/15/15,Loyola Marym't,UC Irvine,25,39,28,38,53,77,0,1
11/15/15,New Mexico,New Mexico St.,39,38,44,36,83,74,1,0
11/15/15,Coastal Caro.,Hawaii,33,41,30,33,63,74,0,1
11/15/15,Cal Poly,UCLA,37,47,46,41,83,88,0,1
11/15/15,Mt. St. Mary's,Ohio State,21,42,33,34,54,76,0,1
11/16/15,Virginia,Geo. Washington,32,35,36,38,68,73,0,1
11/16/15,Chicago State,Iowa State,35,49,29,57,64,106,0,1
11/16/15,Bradley,Arizona,33,39,27,51,60,90,0,1
11/16/15,Austin Peay,Indiana,39,51,37,51,76,102,0,1
11/16/15,UC Santa Barb.,California,28,47,39,38,67,85,0,1
11/16/15,San Diego State,Utah,32,38,44,43,76,81,0,1
11/16/15,Gardner-Webb,Vanderbilt,29,46,33,52,62,98,0,1
11/16/15,Baylor,Oregon,24,35,43,39,67,74,0,1
11/16/15,Kennesaw State,LSU,21,44,48,47,69,91,0,1
11/16/15,Elon,Michigan,33,43,35,45,68,88,0,1
11/16/15,BYU,Long Beach St.,30,36,35,30,65,66,0,1
11/16/15,Tennessee State,Ohio,37,37,30,38,67,75,0,1
11/16/15,Central State ,Detroit,23,42,42,46,65,88,0,1
11/16/15,Cornell,Colgate,41,30,35,46,25,22,0,1
11/16/15,Hiram,Akron,10,44,20,56,30,100,0,1
11/16/15,Eastern Illinois,Ball State,32,36,24,37,56,73,0,1
11/16/15,James Madison,West Virginia,38,48,35,38,73,86,0,1
11/16/15,Sacred Heart,Yale,33,51,44,48,77,99,0,1
11/16/15,FDU-Florham,Fairleigh D'son,34,68,36,43,70,111,0,1
11/16/15,Morgan State,Towson,25,32,36,37,61,69,0,1
11/16/15,New Orleans,Duquesne,27,54,48,41,75,95,0,1
11/16/15,La Roche,Longwood,35,32,30,57,65,89,0,1
11/16/15,Hiwassee,Chattanooga,26,51,29,43,55,94,0,1
11/16/15,Albany,Boston U.,37,34,27,35,64,69,0,1
11/16/15,Lehigh,Canisius,41,39,48,59,89,98,0,1
11/16/15,S.C. Upstate,Presbyterian,40,35,33,39,73,74,0,1
11/16/15,Buffalo,Old Dominion,20,37,38,40,58,77,0,1
11/16/15,Radford,VCU,32,43,42,49,74,92,0,1
11/16/15,Charlotte,East Carolina,35,41,39,47,74,88,0,1
11/16/15,Voorhees,S. Carolina St.,37,52,32,61,69,113,0,1
11/16/15,UTRGV,North Florida,34,61,50,45,84,106,0,1
11/16/15,Holy Cross,Brown,32,35,23,36,55,71,0,1
11/16/15,UMBC,St. John's ,22,31,31,44,53,75,0,1
11/16/15,La.-Lafayette,Miami (Fla.),27,43,50,50,77,93,0,1
11/16/15,NJIT,South Florida,24,27,36,30,60,57,1,0
11/16/15,Molloy,Hofstra,29,37,35,59,64,96,0,1
11/16/15,Charleston,Navy,31,28,41,30,72,58,1,0
11/16/15,Campbell,Savannah State,26,29,31,30,57,59,0,1
11/16/15,Wyoming,Indiana State,15,29,40,41,55,70,0,1
11/16/15,Tennessee,Georgia Tech,38,40,29,29,67,69,0,1
11/16/15,Florida Mem.,FIU,18,35,33,32,51,67,0,1
11/16/15,George Mason,Mercer,28,26,32,43,60,69,0,1
11/16/15,Texas Wesleyan,FGCU,30,42,32,43,62,85,0,1
11/16/15,Bethune-Cookman,Tennessee-Martin,33,34,53,45,86,79,1,0
11/16/15,Oral Roberts,South Carolina,30,33,36,51,66,84,0,1
11/16/15,LSU-Alexandria,N'western St.,49,47,50,50,99,97,1,0
11/16/15,LIU Brooklyn,Loyola (Md.),31,29,40,39,71,68,1,0
11/16/15,Manchester,IPFW,21,38,32,47,53,85,0,1
11/16/15,Ga. Southern,Mississippi,35,46,37,36,72,82,0,1
11/16/15,Southern Univ.,Mississippi St.,45,40,31,32,76,72,1,0
11/16/15,Drake,Tulane,33,35,36,34,5,10,0,1
11/16/15,Oakwood,Jacksonville St.,32,53,28,43,60,96,0,1
11/16/15,Weber State,South Dakota St.,33,45,35,40,68,85,0,1
11/16/15,N.C. A&T;,Florida,27,52,27,52,54,104,0,1
11/16/15,Aub.-Montgomery,Samford,34,35,45,59,79,94,0,1
11/16/15,Crowley's Ridge,Houston Baptist,30,52,32,50,62,102,0,1
11/16/15,Allen,N.C. Central,26,33,28,45,54,78,0,1
11/16/15,Morehead State,Illinois State,31,32,35,35,66,67,0,1
11/16/15,Texas-Tyler,Texas State,15,39,34,45,49,84,0,1
11/16/15,Southeastern La.,Texas A&M;,30,50,28,50,58,100,0,1
11/16/15,Texas College,North Texas,34,50,27,60,61,110,0,1
11/16/15,Ark.-Pine Bluff,Oklahoma State,31,32,41,54,72,86,0,1
11/16/15,Lyon,Arkansas State,17,35,20,46,37,81,0,1
11/16/15,Tennessee Tech,Air Force,27,40,43,40,70,80,0,1
11/16/15,Dickinson State,Idaho State,40,65,45,45,85,110,0,1
11/16/15,Alabama State,UAB,30,37,40,35,70,72,0,1
11/16/15,IUPUI,Marquette,36,36,33,33,2,6,0,1
11/16/15,Columbia,Kansas State,35,40,36,41,71,81,0,1
11/16/15,Northern Ariz.,Boise State,44,47,37,54,81,101,0,1
11/16/15,Monmouth,USC,46,47,44,54,90,101,0,1
11/16/15,Manhattan,St. Mary's (Cal.),36,46,27,43,63,89,0,1
11/16/15,Belmont,Arizona State,32,36,42,47,74,83,0,1
11/16/15,Lamar,Fresno State,36,46,36,34,72,80,0,1
11/16/15,San Diego Christian,Pepperdine,29,46,20,45,49,91,0,1
11/16/15,Montana,San Jose State,24,36,37,28,61,64,0,1
11/16/15,N.M. Highlands,UNLV,14,60,31,47,45,107,0,1
11/16/15,Rice,San Francisco,22,41,32,39,54,80,0,1
11/16/15,Pacific Lutheran,Portland State,34,56,26,49,60,105,0,1
11/17/15,Kentucky,Duke,37,31,37,32,74,63,1,0
11/17/15,Georgetown,Maryland,33,33,38,42,71,75,0,1
11/17/15,Kansas,Michigan State,41,35,32,44,73,79,0,1
11/17/15,Oklahoma,Memphis,42,41,42,37,84,78,1,0
11/17/15,Wichita State,Tulsa,31,30,36,47,67,77,0,1
11/17/15,Nebraska,Villanova,25,38,38,49,63,87,0,1
11/17/15,Milwaukee,Notre Dame,31,39,47,47,78,86,0,1
11/17/15,New Hampshire,Connecticut,29,39,37,46,66,85,0,1
11/17/15,Alabama,Dayton,24,40,24,40,48,80,0,1
11/17/15,Colorado,Auburn,42,46,49,38,91,84,1,0
11/17/15,Nevada,Hawaii,28,40,47,36,75,76,0,1
11/17/15,DePaul,Penn State,25,31,37,37,62,68,0,1
11/17/15,Stetson,Citadel,50,51,43,43,93,94,0,1
11/17/15,Green Bay,East Tenn. St.,41,48,49,55,90,103,0,1
11/17/15,Missouri,Xavier,36,37,30,41,66,78,0,1
11/17/15,Penn,Delaware State,26,26,34,28,60,54,1,0
11/17/15,Mt. St. Vincent,St. Francis (B'klyn),27,45,40,48,67,93,0,1
11/17/15,Massachusetts,Harvard,38,34,31,29,69,63,1,0
11/17/15,Furman,Appalachian St.,32,29,47,41,79,70,1,0
11/17/15,San Diego,Western Mich.,34,28,28,46,62,74,0,1
11/17/15,Chowan,UNC-Greensboro,25,35,35,46,60,81,0,1
11/17/15,William & Mary,Liberty,35,38,35,21,70,59,1,0
11/17/15,St. Bonaventure,Syracuse,35,29,31,50,66,79,0,1
11/17/15,Westmin. (Pa.),St. Francis (Pa.),39,52,33,51,72,103,0,1
11/17/15,Truett-McConnell,Winthrop,41,47,37,59,78,106,0,1
11/17/15,Malone,Cleveland State,23,22,23,40,46,62,0,1
11/17/15,Wash. Advent.,Norfolk State,24,35,34,43,58,78,0,1
11/17/15,Hartford,Louisville,31,45,21,42,52,87,0,1
11/17/15,St. Jos. (Ind.),Pittsburgh,23,37,20,47,43,84,0,1
11/17/15,Alma,Cent. Michigan,30,42,34,37,64,79,0,1
11/17/15,Rider,La Salle,27,39,33,34,60,73,0,1
11/17/15,Queens (N.Y.),Fordham,27,41,30,35,57,76,0,1
11/17/15,Kenyon,Miami (Ohio),21,34,26,34,47,68,0,1
11/17/15,Grambling,Ohio State,20,44,35,38,55,82,0,1
11/17/15,Dartmouth,Marist,24,33,39,40,63,73,0,1
11/17/15,Warner Southern,Florida Atlantic,34,22,41,50,75,72,1,0
11/17/15,Wentworth,Northeastern,18,54,44,37,62,91,0,1
11/17/15,Oakland City,Lipscomb,37,51,32,45,69,96,0,1
11/17/15,Hampton,American,21,23,40,25,61,48,1,0
11/17/15,Texas-Arlington,Louisiana Tech,42,32,26,48,68,80,0,1
11/17/15,St. Thomas (Minn.),Sam Houston St.,46,48,46,66,92,114,0,1
11/17/15,Tusculum,VMI,29,58,47,30,76,88,0,1
11/17/15,Marian (Ind.),Evansville,27,40,32,44,59,84,0,1
11/17/15,Louisiana Coll.,McNeese State,36,40,37,30,73,70,1,0
11/17/15,UTSA,Creighton,37,61,41,42,78,103,0,1
11/17/15,Illinois-Chicago,Western Illinois,24,39,33,45,57,84,0,1
11/17/15,Middle Tenn.,Murray State,30,37,35,39,65,76,0,1
11/17/15,Steph. F. Austin,UNI,26,40,34,30,60,70,0,1
11/17/15,Jackson State,Southern Miss,42,26,36,34,78,60,1,0
11/17/15,UMKC,Omaha,39,39,44,44,6,12,0,1
11/17/15,North Dakota,Wisconsin,22,35,42,43,64,78,0,1
11/17/15,Colo. Christian,Northern Colo.,39,49,31,36,70,85,0,1
11/17/15,Adams State,Utah State,27,47,41,36,68,83,0,1
11/17/15,Jacksonville,Florida State,38,44,41,54,79,98,0,1
11/17/15,Iona,Oregon State,29,41,44,52,73,93,0,1
11/17/15,Valparaiso,Rhode Island,18,20,40,35,58,55,1,0
11/17/15,CSU Fullerton,Pacific,39,45,38,31,77,76,1,0
11/17/15,Idaho,CSU Bakersfield,26,38,19,30,45,68,0,1
11/18/15,Wofford,North Carolina,29,34,29,44,58,78,0,1
11/18/15,Northern Ariz.,Gonzaga,27,42,25,49,52,91,0,1
11/18/15,Incarnate Word,Purdue,24,53,37,43,61,96,0,1
11/18/15,Binghamton,Cornell,27,38,32,38,59,76,0,1
11/18/15,Centenary (La.),UALR,29,38,20,57,49,95,0,1
11/18/15,Jacksonville St.,Virginia Tech,33,38,29,33,62,71,0,1
11/18/15,UC Irvine,UCF,26,24,32,34,3,2,0,1
11/18/15,Toledo,Youngstown St.,51,38,49,40,100,78,1,0
11/18/15,Roanoke,N.C. A&T;,57,48,37,39,94,87,1,0
11/18/15,Cincinnati,Bowling Green,35,31,48,19,83,50,1,0
11/18/15,IUPUI,NC State,27,38,29,41,56,79,0,1
11/18/15,Brown,Niagara,30,38,36,37,66,75,0,1
11/18/15,Mars Hill,UNC-Asheville,17,46,34,38,51,84,0,1
11/18/15,Arkansas State,Savannah State,39,43,36,33,75,76,0,1
11/18/15,Illinois,Providence,30,32,29,28,59,60,0,1
11/18/15,High Point,Drexel,40,32,35,34,75,66,1,0
11/18/15,Thomas (Ga.),Florida A&M;,31,39,37,31,68,70,0,1
11/18/15,Richmond,Wake Forest,41,39,50,43,91,82,1,0
11/18/15,Edward Waters,North Florida,41,57,28,41,69,98,0,1
11/18/15,Buffalo,Saint Joseph's,28,46,39,43,67,89,0,1
11/18/15,Catawba,Radford,27,28,33,40,60,68,0,1
